424619,SensorRuido,Setor_B,dB,43
461621,SensorTemp,Escritorio,°C,76
178586,SensorRuido,Usina,dB,34
113595,SensorCO2,Escritorio,ppm,84
621393,SensorTemp,Setor_B,°C,50
79538,SensorCO2,Laboratorio,ppm,56
724642,SensorUmidade,Setor_A,%,28
785228,SensorCO2,Usina,ppm,58
33876,SensorTemp,Setor_A,°C,86
466790,SensorRuido,Usina,dB,98
819729,SensorTemp,Setor_A,°C,98
205560,SensorUmidade,Laboratorio,%,44
579792,SensorRuido,Armazem,dB,44
23930,SensorRuido,Setor_B,dB,85
661738,SensorPressao,Laboratorio,hPa,46
802556,SensorPressao,Armazem,hPa,31
742588,SensorUmidade,Escritorio,%,47
625364,SensorTemp,Armazem,°C,32
941754,SensorPressao,Setor_A,hPa,81
523321,SensorCO2,Usina,ppm,92
84752,SensorCO2,Escritorio,ppm,86
240205,SensorCO2,Setor_A,ppm,43
320969,SensorCO2,Usina,ppm,99
176062,SensorTemp,Setor_A,°C,74
272129,SensorRuido,Setor_B,dB,71
68618,SensorPressao,Escritorio,hPa,94
742699,SensorRuido,Laboratorio,dB,33
451760,SensorCO2,Setor_B,ppm,65
582056,SensorPressao,Escritorio,hPa,65
418297,SensorCO2,Setor_A,ppm,23
125750,SensorCO2,Usina,ppm,55
45396,SensorTemp,Usina,°C,35
852416,SensorRuido,Usina,dB,47
849130,SensorPressao,Usina,hPa,77
995534,SensorTemp,Armazem,°C,37
859449,SensorCO2,Laboratorio,ppm,96
966030,SensorTemp,Setor_B,°C,47
445191,SensorCO2,Setor_A,ppm,30
361051,SensorCO2,Setor_B,ppm,54
756613,SensorPressao,Usina,hPa,45
205979,SensorCO2,Armazem,ppm,90
217522,SensorTemp,Armazem,°C,58
220508,SensorUmidade,Armazem,%,84
816282,SensorTemp,Setor_B,°C,41
94685,SensorCO2,Usina,ppm,86
807418,SensorCO2,Armazem,ppm,50
554901,SensorPressao,Usina,hPa,31
328932,SensorPressao,Escritorio,hPa,37
